user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x811402073598066688,x1513300296809664514,4/10/2022 23:38,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d700033,Twitter for Android,154,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513300296809664514,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513299574902820868,4/10/2022 23:35,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d70006,Twitter for Android,153,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513299574902820868,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513300274521128967,4/10/2022 23:37,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d700032,Twitter for Android,154,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513300274521128967,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513302028457369602,4/10/2022 23:44,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d700050,Twitter for Android,154,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513302028457369602,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513300158460559363,4/10/2022 23:37,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d700028,Twitter for Android,154,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513300158460559363,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513299861965139970,4/10/2022 23:36,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d700019,Twitter for Android,154,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513299861965139970,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513299644134019078,4/10/2022 23:35,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d70009,Twitter for Android,153,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513299644134019078,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513300460249120769,4/10/2022 23:38,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d700043,Twitter for Android,154,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513300460249120769,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513301880310415365,4/10/2022 23:44,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d700046,Twitter for Android,154,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513301880310415365,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
x811402073598066688,x1513299980399697920,4/10/2022 23:36,meli_hutagalung, belum pernah punya hp iphone dan rewienya iphone 12 ini okee banget mauu yaa min u0001f60du0001f60d700022,Twitter for Android,154,x1511693101684776968,x811402073598066688,meli_hutagalung,FALSE,FALSE,0,0,,,ShopeeUndangNCTDream NantikanBRSTVShow NCTzenxSobatShopee,,,,,,,,,,,,,x2983890506,ShopeeID,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/meli_hutagalung/status/1513299980399697920,Meli,,,,FALSE,41,558,8,180189,12794,12/21/2016 2:45,FALSE,,,,https://pbs.twimg.com/profile_banners/811402073598066688/1649767986,,http://pbs.twimg.com/profile_images/1494631107802714113/1ZIJVGKW_normal.jpg
